"","x"
"4695",0.133333333333333
"2983",0.05
"2554",0.0666666666666667
"3315",0.0333333333333333
"879",0.05
"1313",0.0833333333333333
"5661",1.26666666666667
"4125",0.116666666666667
"2115",0.0333333333333333
"3309",0.05
"3225",0.0333333333333333
"514",0.0333333333333333
"3427",0.883333333333333
"484",0.0833333333333333
"4194",1.36666666666667
"2894",0.0333333333333333
"5523",0.05
"652",0.0666666666666667
"5160",9.43333333333333
"3349",0.05
"2705",1.08333333333333
"4526",0.0333333333333333
"4925",0.333333333333333
"3202",0.316666666666667
"4716",0.166666666666667
"3015",0.216666666666667
"1453",0.266666666666667
"5046",0.0333333333333333
"1477",0.0666666666666667
"1873",0.0333333333333333
"1583",0.133333333333333
"1203",0.0333333333333333
"3227",86.7
"5047",0.0666666666666667
"3428",0.116666666666667
"4399",0.0333333333333333
"642",0.0333333333333333
"4499",0.0333333333333333
"2740",0.333333333333333
"5334",0.0333333333333333
"3067",0.05
"4883",0.0666666666666667
"5162",0.15
"1655",0.0333333333333333
"58",1
"4220",0.05
"3276",1.15
"39",0.05
"2371",0.0333333333333333
"3878",1.03333333333333
"3600",0.05
"378",0.0666666666666667
"4864",0.116666666666667
"5291",0.183333333333333
"3105",4.58333333333333
"1651",0.133333333333333
"3574",0.05
"1635",0.0333333333333333
"4472",0.15
"3988",2.11666666666667
"5456",0.0333333333333333
"3026",1.4
"189",1.75
"548",0.55
"784",0.0833333333333333
"1091",0.15
"742",0.266666666666667
"4871",33.15
"368",0.1
"4564",0.0333333333333333
"420",0.0333333333333333
"501",1.68333333333333
"5522",0.0333333333333333
"4306",0.316666666666667
"1026",0.283333333333333
"2981",0.233333333333333
"5414",2.16666666666667
"232",0.05
"1995",0.0333333333333333
"3231",0.0333333333333333
"2860",2.08333333333333
"1044",0.1
"1639",0.266666666666667
"3945",1.51666666666667
"5280",0.0333333333333333
"1037",0.0333333333333333
"5483",0.05
"4966",0.35
"3546",0.05
"1623",0.0333333333333333
"3352",0.116666666666667
"4969",0.0333333333333333
"5217",0.233333333333333
"5468",4.73333333333333
"3992",0.0833333333333333
"3097",0.0333333333333333
"2556",0.05
"2239",0.233333333333333
"263",0.15
"2430",28.5166666666667
"1592",0.0833333333333333
"5054",0.05
"4497",0.0833333333333333
"723",3.58333333333333
"1867",0.0333333333333333
"1511",1.25
"1219",0.0333333333333333
"1986",0.0666666666666667
"4733",0.0333333333333333
"4666",0.216666666666667
"4847",0.0666666666666667
"5201",0.0666666666666667
"2906",0.566666666666667
"1903",0.05
"571",0.0333333333333333
"3246",9.66666666666667
"2660",0.05
"4697",0.283333333333333
"3302",0.15
"4831",1.16666666666667
"5045",2.9
"1981",0.0333333333333333
"3505",4.05
"1796",0.15
"765",0.15
"2313",0.0333333333333333
"1371",17.35
"2098",0.0333333333333333
"2002",0.133333333333333
"4440",1.91666666666667
"5547",0.0833333333333333
"5655",0.0666666666666667
"5675",0.0833333333333333
"911",0.0333333333333333
"991",0.0333333333333333
"3699",0.05
"3353",0.05
"2743",0.166666666666667
"978",0.0333333333333333
"285",0.133333333333333
"4771",0.0333333333333333
"1596",1.06666666666667
"4494",0.1
"2198",0.0333333333333333
"4022",0.15
"2425",0.95
"1755",0.0333333333333333
"2982",0.0666666666666667
"323",0.383333333333333
"4608",0.633333333333333
"1278",0.2
"4877",0.516666666666667
"667",1.73333333333333
"2761",0.0333333333333333
"1160",0.0333333333333333
"3758",0.0666666666666667
"483",1.55
"153",24.7
"2286",2.48333333333333
"2757",0.0666666666666667
"3075",0.0333333333333333
"5443",6.96666666666667
"2122",0.05
"3715",0.0333333333333333
"4708",0.233333333333333
"502",0.05
"777",0.116666666666667
"1890",16.2666666666667
"2839",3.85
"3344",2.76666666666667
"906",0.05
"3020",0.0333333333333333
"3492",0.0333333333333333
"2077",2.45
"1419",0.1
"351",0.0333333333333333
"3418",92.35
"2729",0.0666666666666667
"440",0.3
"4967",0.0333333333333333
"2836",0.15
"607",0.0166666666666667
"3703",0.0333333333333333
"4840",0.0333333333333333
"1283",0.05
"2570",0.0333333333333333
"5581",0.0833333333333333
"4417",0.0333333333333333
"65",0.0333333333333333
"231",0.0333333333333333
"5308",1.45
"2718",0.8
"5227",0.516666666666667
"5286",0.0333333333333333
"3039",0.1
"5679",0.2
"2046",0.65
"1421",0.0833333333333333
"3390",0.05
"679",0.0333333333333333
"2582",0.0333333333333333
"4589",0.0333333333333333
"5119",0.0666666666666667
"2398",0.0333333333333333
"955",0.0333333333333333
"2263",0.0666666666666667
"4354",0.0333333333333333
"5328",14.3166666666667
"1448",0.0333333333333333
"308",0.35
"4424",0.0666666666666667
"4979",0.25
"4298",0.05
"2334",0.0333333333333333
"2153",0.0333333333333333
"4721",0.05
"2301",0.166666666666667
"2595",0.0333333333333333
"3938",0.0333333333333333
"1795",0.05
"40",1.65
"4702",0.816666666666667
"464",1.31666666666667
"4775",0.0333333333333333
"2025",0.0333333333333333
"4478",0.0333333333333333
"1476",0.0333333333333333
"3969",0.133333333333333
"4693",0.05
"943",0.0833333333333333
"4131",0.55
"4248",1.28333333333333
"1561",0.0333333333333333
"5269",0.0333333333333333
"467",0.0333333333333333
"1718",2.06666666666667
"2481",0.05
"933",0.05
"5167",0.0333333333333333
"4013",0.0666666666666667
"2980",0.283333333333333
"5313",10
"3865",0.0333333333333333
"4448",0.05
"2245",0.05
"4387",0.0666666666666667
"797",4.21666666666667
"1452",0.0666666666666667
"2521",0.0333333333333333
"1988",0.1
"3534",0.0333333333333333
"1565",0.0666666666666667
"1432",0.0666666666666667
"1274",0.0666666666666667
"4222",9.68333333333333
"1004",0.0833333333333333
"154",3.41666666666667
"3527",3.16666666666667
"1549",28.65
"3840",0.0833333333333333
"976",0.0833333333333333
"2419",0.283333333333333
"2282",0.133333333333333
"1039",0.0833333333333333
"289",0.0333333333333333
"940",0.0333333333333333
"3506",0.0333333333333333
"985",0.0833333333333333
"1042",0.0333333333333333
"141",0.0333333333333333
"3967",0.0333333333333333
"3374",0.466666666666667
"2928",2.7
"2014",0.3
"3395",0.333333333333333
"4525",0.05
"2824",0.0333333333333333
"1007",0.0333333333333333
"4585",0.1
"2794",0.0333333333333333
"5496",3.76666666666667
"3839",1.53333333333333
"3896",0.2
"4780",1.76666666666667
"1114",0.0333333333333333
"4065",0.0333333333333333
"2402",0.0333333333333333
"1540",0.366666666666667
"2210",0.183333333333333
"444",2.11666666666667
"4080",0.0333333333333333
"661",0.166666666666667
"3633",0.05
"1036",2.08333333333333
"4942",0.05
"124",0.316666666666667
"591",0.0666666666666667
"3776",0.05
"647",0.0333333333333333
"2213",0.133333333333333
"2742",0.0333333333333333
"5394",1.1
"2775",0.233333333333333
"4158",2.28333333333333
"1311",0.0333333333333333
"1122",0.05
"332",1.16666666666667
"330",0.466666666666667
"546",0.0333333333333333
"2572",25.4333333333333
"2325",0.05
"1544",0.0333333333333333
"513",0.166666666666667
"414",0.0833333333333333
"2140",0.05
"1840",0.333333333333333
"24",0.733333333333333
"2799",9.88333333333333
"5678",0.0666666666666667
"2110",0.283333333333333
"1668",0.233333333333333
"5028",0.0333333333333333
"4269",0.15
"5682",0.116666666666667
"2161",0.0333333333333333
"1064",7.01666666666667
"5179",0.05
"4699",0.0833333333333333
"576",0.15
"1919",0.0333333333333333
"2487",0.133333333333333
"5082",0.0833333333333333
"823",0.05
"2646",0.0333333333333333
"4278",0.0333333333333333
"3216",0.0833333333333333
"392",1.33333333333333
"4212",0.0333333333333333
"5058",0.0333333333333333
"5059",0.0333333333333333
"2234",0.0333333333333333
"594",0.0666666666666667
"3622",0.0333333333333333
"877",0.1
"1730",16.6
"4256",0.0333333333333333
"1437",1.2
"3220",0.05
"1239",0.266666666666667
"1374",0.0833333333333333
"697",0.0666666666666667
"750",0.0333333333333333
"5491",0.0333333333333333
"3293",0.1
"2996",0.0333333333333333
"2244",0.0833333333333333
"3886",0.0333333333333333
"2633",0.05
"3273",0.15
"2047",2.66666666666667
"44",3.08333333333333
"5563",0.833333333333333
"4813",11.7
"1246",0.2
"4688",0.0333333333333333
"5471",0.0666666666666667
"1405",0.116666666666667
"2382",1.98333333333333
"5202",0.0666666666666667
"5117",0.0333333333333333
"1935",0.0333333333333333
"3978",0.133333333333333
"5634",27.8666666666667
"2467",0.0333333333333333
"3541",0.0333333333333333
"2335",0.05
"990",0.516666666666667
"5096",0.616666666666667
"5484",0.0666666666666667
"4707",0.383333333333333
"4628",0.1
"373",0.05
"688",0.0833333333333333
"4586",0.0333333333333333
"1658",0.0833333333333333
"2645",0.0333333333333333
"2655",0.1
"3636",0.05
"3943",0.883333333333333
"3977",0.35
"2780",15.5
"2496",0.183333333333333
"2829",0.0333333333333333
"4776",0.383333333333333
"5385",0.05
"3006",0.0333333333333333
"215",1.28333333333333
"5235",0.05
"5583",4.43333333333333
"181",0.416666666666667
"2393",0.0333333333333333
"625",0.766666666666667
"4481",0.0833333333333333
"1365",2.35
"1391",0.15
"5226",0.0333333333333333
"4740",0.0333333333333333
"372",0.0833333333333333
"2300",10.3666666666667
"4450",0.05
"381",0.516666666666667
"4359",0.516666666666667
"5036",0.05
"2132",1.56666666666667
"2831",32.4333333333333
"1216",0.15
"5126",0.133333333333333
"318",0.25
"1340",0.15
"4146",0.0333333333333333
"772",0.516666666666667
"1759",0.183333333333333
"375",0.0666666666666667
"5133",0.3
"4725",0.0666666666666667
"4778",0.05
"4670",31.25
"4032",0.0333333333333333
"5262",14.05
"4001",0.0833333333333333
"2575",0.0833333333333333
"3689",0.0666666666666667
"2972",0.1
"2434",55.4333333333333
"4255",0.0666666666666667
"3308",0.116666666666667
"4164",0.1
"3825",0.0833333333333333
"3677",0.133333333333333
"898",1.86666666666667
"760",0.366666666666667
"5111",0.533333333333333
"5663",0.0333333333333333
"3949",0.0666666666666667
"5624",0.233333333333333
"1922",0.116666666666667
"149",0.0333333333333333
"4479",0.05
"2053",0.0833333333333333
"2358",0.05
"2464",0.05
"2795",0.0833333333333333
"452",0.0333333333333333
"1492",0.05
"3162",0.2
"2893",3.13333333333333
"1590",0.983333333333333
"2879",0.0666666666666667
"2940",0.05
"90",0.05
"993",0.05
"171",0.966666666666667
"4560",0.0833333333333333
"5402",0.116666666666667
"5446",0.0666666666666667
"2291",0.05
"2135",6.08333333333333
"4414",162.333333333333
"3942",0.0333333333333333
"4015",0.0333333333333333
"5559",0.0833333333333333
"1704",0.0333333333333333
"3300",0.116666666666667
"638",0.05
"2563",0.1
"2707",0.133333333333333
"184",0.0333333333333333
"3269",0.0666666666666667
"4624",0.0333333333333333
"1280",1
"4767",0.05
"3109",0.05
"3529",0.0666666666666667
"217",0.05
"3533",0.0833333333333333
"2456",0.05
"5273",9.31666666666667
"671",0.0333333333333333
"1618",0.95
"560",0.0333333333333333
"2592",0.0333333333333333
"4350",0.0333333333333333
"2663",0.0666666666666667
"4965",0.05
"3380",0.0333333333333333
"1408",0.166666666666667
"3032",9.45
"4793",1.66666666666667
"4828",0.1
"5277",0.05
"5042",0.0333333333333333
"1058",0.133333333333333
"2896",0.233333333333333
"3128",10.55
"774",0.05
"956",0.05
"336",0.0666666666666667
"1832",0.05
"4090",0.05
"3619",0.0666666666666667
"4036",19.0333333333333
"2219",0.1
"4116",0.116666666666667
"817",0.05
"2119",0.0333333333333333
"1488",0.183333333333333
"4939",0.05
"3324",0.0833333333333333
"2206",0.05
"1614",0.0333333333333333
"4068",0.0333333333333333
"131",0.0333333333333333
"2228",1.01666666666667
"5004",0.05
"3777",0.0333333333333333
"4363",0.533333333333333
"2423",0.116666666666667
"1766",0.15
"2875",0.05
"201",0.0333333333333333
"1478",2.7
"1571",0.55
"2495",0.0833333333333333
"730",0.05
"1839",0.0333333333333333
"929",0.0333333333333333
"3158",0.05
"5238",0.0333333333333333
"1649",2.51666666666667
"5129",1.21666666666667
"1936",1.93333333333333
"2048",0.1
"4060",1.06666666666667
"3071",0.716666666666667
"4430",0.0833333333333333
"2329",0.15
"1016",0.1
"720",0.3
"5122",0.05
"621",0.116666666666667
"3549",0.0333333333333333
"5252",0.566666666666667
"2383",0.1
"2433",0.0333333333333333
"2683",2.66666666666667
"1807",0.0333333333333333
"3739",0.0666666666666667
"5493",0.0666666666666667
"278",0.0666666666666667
"1074",0.0333333333333333
"1490",91.4666666666667
"411",3.73333333333333
"1006",0.0333333333333333
"1991",0.0333333333333333
"643",0.0333333333333333
"2913",0.166666666666667
"807",0.0333333333333333
"3177",0.05
"2756",0.0333333333333333
"922",0.05
"2961",2.41666666666667
"1429",0.5
"1947",0.1
"328",0.1
"1135",0.0333333333333333
"2060",0.05
"5120",0.0333333333333333
"1740",0.0333333333333333
"3923",0.2
"4033",0.166666666666667
"5022",0.166666666666667
"1543",0.0666666666666667
"4703",19.5333333333333
"4912",0.55
"4835",0.7
"358",0.583333333333333
"4233",0.0833333333333333
"5627",0.1
"402",0.2
"2712",0.1
"4267",3.88333333333333
"919",0.0333333333333333
"4335",0.3
"3474",0.0833333333333333
"4753",0.05
"130",0.0333333333333333
"2814",0.0333333333333333
"4457",1.6
"3381",0.05
"4964",3.23333333333333
"4223",0.75
"2107",0.0333333333333333
"1535",0.483333333333333
"1367",0.116666666666667
"2045",0.05
"4875",1.78333333333333
"984",0.0333333333333333
"1467",0.0333333333333333
"4736",0.0333333333333333
"5304",0.0666666666666667
"4",0.05
"2524",0.05
"599",0.0666666666666667
"2449",0.05
"1328",0.0333333333333333
"4816",0.35
"3690",0.85
"5460",0.483333333333333
"1464",0.0666666666666667
"5673",0.05
"316",0.0666666666666667
"5677",0.0333333333333333
"4940",0.05
"4027",0.0333333333333333
"2026",0.0833333333333333
"3484",0.0666666666666667
"888",0.133333333333333
"3821",0.2
"2328",0.05
"219",0.0333333333333333
"1152",0.0333333333333333
"3623",0.0333333333333333
"3640",0.3
"2642",0.1
"3469",0.3
"5374",0.05
"1833",0.233333333333333
"689",33.4166666666667
"156",0.266666666666667
"2706",0.233333333333333
"3345",0.0333333333333333
"1585",0.0666666666666667
"4304",0.0666666666666667
"5282",0.0333333333333333
"5395",0.0333333333333333
"2290",0.183333333333333
"178",0.05
"3769",0.05
"1753",0.0333333333333333
"3805",0.0333333333333333
"1527",9.51666666666667
"4760",0.716666666666667
"3662",0.05
"618",0.366666666666667
"1530",0.133333333333333
"5268",0.0333333333333333
"4444",0.0333333333333333
"5528",0.0833333333333333
"2797",0.0333333333333333
"2361",0.0333333333333333
"2662",0.1
"4882",0.0333333333333333
"1049",0.05
"3239",0.3
"691",6.21666666666667
"81",0.0833333333333333
"2494",0.116666666666667
"3873",0.0333333333333333
"4148",0.0333333333333333
"3477",0.216666666666667
"3391",23.3833333333333
"2939",1.98333333333333
"3954",82.1333333333333
"589",0.183333333333333
"3108",0.1
"4561",0.0333333333333333
"2022",0.0333333333333333
"296",0.0833333333333333
"4859",0.15
"2320",0.0666666666666667
"2644",0.0333333333333333
"3438",0.166666666666667
"3147",0.85
"5525",0.166666666666667
"1250",0.0333333333333333
"1491",0.0333333333333333
"1204",2.48333333333333
"292",0.466666666666667
"4286",13.65
"1308",0.2
"1893",0.0833333333333333
"2959",0.1
"1517",0.0833333333333333
"1259",0.166666666666667
"5138",0.133333333333333
"2082",1.11666666666667
"3659",0.0666666666666667
"1336",0.166666666666667
"1376",0.566666666666667
"2849",0.0333333333333333
"913",0.233333333333333
"1054",0.2
"459",0.1
"5006",0.2
"3456",0.0333333333333333
"1724",0.45
"4243",0.633333333333333
"1350",0.1
"4357",2.38333333333333
"1417",0.1
"1987",0.183333333333333
"2015",1.81666666666667
"2399",0.0666666666666667
"2155",0.0333333333333333
"4551",1.83333333333333
"3895",0.183333333333333
"2700",0.05
"257",0.383333333333333
"4408",0.05
"2576",1.7
"1483",0.05
"3832",0.0333333333333333
"4377",0.05
"2653",0.416666666666667
"5587",0.0666666666666667
"3058",0.0333333333333333
"624",0.1
"4731",0.0333333333333333
"3190",0.05
"1605",0.0333333333333333
"2477",0.0666666666666667
"4364",0.0666666666666667
"1388",0.0333333333333333
"3210",0.0833333333333333
"1024",0.416666666666667
"1692",0.0333333333333333
"4520",0.05
"4837",0.0333333333333333
"4139",0.05
"1110",0.0333333333333333
"4395",7.15
"4352",0.166666666666667
"884",0.0333333333333333
"2535",0.0333333333333333
"5124",0.0333333333333333
"1921",0.05
"3789",0.05
"475",0.0333333333333333
"2195",0.0333333333333333
"3252",0.116666666666667
"5100",0.0333333333333333
"3143",0.0333333333333333
"5535",0.0333333333333333
"102",0.0333333333333333
"2",0.05
"5401",0.133333333333333
"2564",0.0333333333333333
"2861",0.0333333333333333
"7",0.0333333333333333
"5052",0.05
"4817",0.166666666666667
"3393",0.0833333333333333
"5617",0.0333333333333333
"3551",0.0333333333333333
"5376",0.0833333333333333
"3936",0.0333333333333333
"4025",0.0333333333333333
"1343",0.05
"4648",0.15
"1722",0.0833333333333333
"3294",0.0666666666666667
"3183",0.0333333333333333
"3114",0.183333333333333
"1671",18.25
"73",0.0333333333333333
"2013",0.0333333333333333
"2859",0.05
"3744",0.0333333333333333
"2527",0.0333333333333333
"4280",0.05
"4422",3.41666666666667
"2510",0.0833333333333333
"93",0.466666666666667
"595",0.05
"3357",0.0333333333333333
"5065",0.2
"1883",0.133333333333333
"382",0.05
"4229",1.03333333333333
"3802",0.05
"5287",2.18333333333333
"1705",0.0666666666666667
"4764",0.05
"3336",0.116666666666667
"4891",0.0333333333333333
"3005",0.0666666666666667
"1931",0.333333333333333
"2127",0.15
"4321",5.73333333333333
"1076",0.2
"1319",0.183333333333333
"799",0.0666666666666667
"3069",0.0333333333333333
"1633",2.43333333333333
"507",0.0833333333333333
"4002",0.833333333333333
"1010",0.05
"3057",0.0333333333333333
"5575",0.433333333333333
"3957",24.7166666666667
"447",0.0333333333333333
"3753",0.0666666666666667
"569",0.0333333333333333
"5513",0.0333333333333333
"4008",0.0333333333333333
"4931",0.05
"2183",0.0333333333333333
"4914",0.0333333333333333
"121",0.133333333333333
"1497",0.0833333333333333
"1005",0.0333333333333333
"5603",0.1
"3651",0.0333333333333333
"5283",0.0333333333333333
"3248",0.0833333333333333
"3589",0.05
"969",0.0166666666666667
"4701",0.15
"4362",0.0333333333333333
"228",0.05
"3538",15.3666666666667
"2621",11.8166666666667
"4855",0.0333333333333333
"4365",0.0833333333333333
"3198",0.0666666666666667
"1406",0.183333333333333
"3512",0.1
"4373",0.05
"1502",0.0666666666666667
"3702",0.0333333333333333
"947",0.05
"1115",0.166666666666667
"3330",0.0333333333333333
"499",0.05
"4477",0.0333333333333333
"4599",0.233333333333333
"3008",0.0333333333333333
"4086",0.0333333333333333
"4573",0.1
"2900",0.0333333333333333
"3322",0.0333333333333333
"596",62.9833333333333
"4225",0.0333333333333333
"3675",0.0333333333333333
"434",0.0833333333333333
"3447",0.0333333333333333
